"","sta.nm","Vehicle.types","hh","day","dur.v.use.sta","rank"
"148","강릉휴게소(강릉)","화물차","1시","수",175.866833333333,4441
"149","강릉휴게소(강릉)","화물차","1시","목",5.0585,659
"150","강릉휴게소(강릉)","화물차","1시","토",0,446.5
"151","강릉휴게소(강릉)","화물차","2시","수",0,301
"152","강릉휴게소(강릉)","화물차","2시","목",91.6251666666667,4286
"153","강릉휴게소(강릉)","화물차","2시","토",9.61433333333333,1572
"154","강릉휴게소(강릉)","화물차","3시","수",84.1696666666667,4260
"155","강릉휴게소(강릉)","화물차","3시","목",0,220
"156","강릉휴게소(강릉)","화물차","3시","토",56.5211666666667,3930
"157","강릉휴게소(강릉)","화물차","4시","수",0,301
"158","강릉휴게소(강릉)","화물차","4시","목",6.7585,771
"159","강릉휴게소(강릉)","화물차","4시","토",0,446.5
"160","강릉휴게소(강릉)","화물차","5시","수",0,301
"161","강릉휴게소(강릉)","화물차","5시","목",0,220
"162","강릉휴게소(강릉)","화물차","5시","토",0,446.5
"163","강릉휴게소(강릉)","화물차","6시","수",29.9933333333333,2991.5
"164","강릉휴게소(강릉)","화물차","6시","목",80.4246666666667,4229
"165","강릉휴게소(강릉)","화물차","6시","토",78.2958333333333,4151
"166","강릉휴게소(강릉)","화물차","7시","수",22.3533333333333,2314
"167","강릉휴게소(강릉)","화물차","7시","목",31.645,3059
"168","강릉휴게소(강릉)","화물차","7시","토",115.9485,4319
"169","강릉휴게소(강릉)","화물차","8시","수",82.5583333333333,4252
"170","강릉휴게소(강릉)","화물차","8시","목",95.8686666666667,4314
"171","강릉휴게소(강릉)","화물차","8시","토",89.289,4228
"172","강릉휴게소(강릉)","화물차","9시","수",3.68333333333333,746
"173","강릉휴게소(강릉)","화물차","9시","목",96.535,4317
"174","강릉휴게소(강릉)","화물차","9시","토",0,446.5
"175","강릉휴게소(강릉)","화물차","10시","수",0,301
"176","강릉휴게소(강릉)","화물차","10시","목",33.2131666666667,3159
"177","강릉휴게소(강릉)","화물차","10시","토",23.1536666666667,2694
"178","강릉휴게소(강릉)","화물차","11시","수",0,301
"179","강릉휴게소(강릉)","화물차","11시","목",2.16066666666667,521
"180","강릉휴게소(강릉)","화물차","11시","토",7.41066666666667,1395
"181","강릉휴게소(강릉)","화물차","12시","수",0,301
"182","강릉휴게소(강릉)","화물차","12시","목",83.8238333333333,4251
"183","강릉휴게소(강릉)","화물차","12시","토",0,446.5
"184","강릉휴게소(강릉)","화물차","13시","수",66.59,4122
"185","강릉휴게소(강릉)","화물차","13시","목",189.124666666667,4437
